"","data.admin0Name","data.admin1Name","data.admin2Name"
"1","Burkina Faso","Est","Tapoa"
"19","Burkina Faso","Est","Gnagna"
"33","Senegal","Tambacounda","Tambacounda"
"35","Senegal","Tambacounda","Koumpentoum"
"37","Senegal","Kaffrine","Koungheul"
"38","Senegal","Tambacounda","Goudiry"
"40","Senegal","Tambacounda","Bakel"
"42","Senegal","Matam","Kanel"
"43","Senegal","Louga","Kebemer"
"44","Senegal","Matam","Ranerou"
"47","Senegal","Louga","Linguere"
"53","Senegal","Matam","Matam"
"54","Senegal","Louga","Louga"
"56","Senegal","Saint Louis","Dagana"
"59","Senegal","Saint Louis","Podor"
"63","Mali","Gao","Ansongo"
"71","Mali","Gao","Gao"
"83","Mali","Gao","Bourem"
"92","Niger","Tillaberi","Abala"
"93","Niger","Tahoua","Abalak"
"94","Niger","Tahoua","Bouza"
"95","Niger","Diffa","Diffa"
"97","Niger","Zinder","Gouré"
"98","Niger","Maradi","Guidan Roumdji"
"99","Niger","Agadez","Ingall"
"100","Niger","Tahoua","Keita"
"101","Niger","Diffa","Maïné Soroa"
"102","Niger","Tahoua","Malbaza"
"103","Niger","Maradi","Mayahi"
"104","Niger","Diffa","N'Guigmi"
"105","Niger","Tillaberi","Ouallam"
"106","Niger","Zinder","Tanout"
"107","Niger","Tahoua","Tchintabaraden"
"108","Niger","Tillaberi","Tillaberi"
"109","Niger","Tahoua","Ville de Tahoua"
